,Aqua Ventus,IEA 15MW,NASA Floater
Mooring System,136.5,187.6495622279307,187.6495622279307
Array System,29.14655175546564,29.14655175546564,29.14655175546564
Export System,187.26915794578002,187.26915794578002,187.26915794578002
Offshore Substation,174.13183333333333,174.13183333333333,174.13183333333333
Substructure,546.0,1548.7908403551348,505.0
Mooring System Installation,24.304794520547947,24.304794520547947,24.304794520547947
Array System Installation,14.583863974210974,14.583863974210974,14.583863974210974
Export System Installation,188.93120395336325,188.93120395336325,188.93120395336325
Offshore Substation Installation,3.391597539320142,3.391597539320142,3.391597539320142
Substructure Installation,127.2147282470827,127.2147282470827,127.2147282470827
Turbine,1076.0,1076.0,1076.0
Soft,431.0,431.0,431.0
Project,373.3333333333333,373.3333333333333,373.3333333333333
