,steel_semisub,concrete_semisub
1983,14527.833333333332,14527.833333333332
1984,14515.333333333332,14515.333333333332
1985,14568.333333333332,14568.333333333332
1986,14533.833333333332,14533.833333333332
1987,14560.833333333332,14560.833333333332
1988,14601.833333333332,14601.833333333332
1989,14532.333333333332,14532.333333333332
1990,14568.833333333332,14568.833333333332
1991,14538.333333333332,14538.333333333332
1992,14525.833333333332,14525.833333333332
1993,14622.833333333332,14622.833333333332
1994,14519.833333333332,14519.833333333332
1995,14510.333333333332,14510.333333333332
1996,14587.833333333332,14587.833333333332
1997,14561.833333333332,14561.833333333332
1998,14521.333333333332,14521.333333333332
1999,14513.833333333332,14513.833333333332
2000,14543.333333333332,14543.333333333332
2001,14537.833333333332,14537.833333333332
2002,14512.833333333332,14512.833333333332
2003,14501.833333333332,14501.833333333332
2004,14559.833333333332,14559.833333333332
2005,14598.333333333332,14598.333333333332
2006,14498.333333333332,14498.333333333332
2007,14575.333333333332,14575.333333333332
2008,14543.833333333332,14543.833333333332
2009,14547.333333333332,14547.333333333332
2010,14529.833333333332,14529.833333333332
2011,14540.833333333332,14540.833333333332
2012,14595.333333333332,14595.333333333332
2013,14604.333333333332,14604.333333333332
2014,14529.333333333332,14529.333333333332
2015,14572.333333333332,14572.333333333332
2016,14545.833333333332,14545.833333333332
